"Time","recv wlxc83a35ac045d"
2024-10-18 21:45:30,32.1 Mb/s
2024-10-18 21:46:00,33.0 Mb/s
2024-10-18 21:46:30,25.4 kb/s
2024-10-18 21:47:00,26.1 kb/s
2024-10-18 21:47:30,54.5 Mb/s
2024-10-18 21:48:00,115 Mb/s
2024-10-18 21:48:30,45.2 Mb/s
2024-10-18 21:49:00,45.6 Mb/s
2024-10-18 21:49:30,45.9 Mb/s
2024-10-18 21:50:00,28.1 kb/s
2024-10-18 21:50:30,43.1 kb/s
2024-10-18 21:51:00,54.5 Mb/s
2024-10-18 21:51:30,54.8 Mb/s
2024-10-18 21:52:00,48.2 Mb/s
2024-10-18 21:52:30,192 kb/s
2024-10-18 21:53:00,141 kb/s
2024-10-18 21:53:30,48.1 Mb/s
2024-10-18 21:54:00,50.3 Mb/s
2024-10-18 21:54:30,400 kb/s
2024-10-18 21:55:00,93.3 Mb/s
2024-10-18 21:55:30,9.26 kb/s
2024-10-18 21:56:00,10.1 kb/s
2024-10-18 21:56:30,6.82 kb/s
2024-10-18 21:57:00,8.45 kb/s
2024-10-18 21:57:30,479 kb/s
2024-10-18 21:58:00,14.2 Mb/s
2024-10-18 21:58:30,13.6 Mb/s
2024-10-18 21:59:00,10.1 kb/s
2024-10-18 21:59:30,12.8 kb/s
2024-10-18 22:00:00,9.26 kb/s
2024-10-18 22:00:30,8.46 kb/s
2024-10-18 22:01:00,12.5 Mb/s
2024-10-18 22:01:30,13.0 Mb/s
2024-10-18 22:02:00,13.0 Mb/s
2024-10-18 22:02:30,46.5 Mb/s
2024-10-18 22:03:00,47.1 Mb/s
2024-10-18 22:03:30,327 kb/s
2024-10-18 22:04:00,828 kb/s
2024-10-18 22:04:30,500 kb/s
2024-10-18 22:05:00,65.2 Mb/s
2024-10-18 22:05:30,63.5 Mb/s
2024-10-18 22:06:00,64.4 Mb/s
2024-10-18 22:06:30,48.9 Mb/s
2024-10-18 22:07:00,48.6 Mb/s
2024-10-18 22:07:30,71.3 kb/s
2024-10-18 22:08:00,8.46 kb/s
2024-10-18 22:08:30,681 kb/s
2024-10-18 22:09:00,8.45 kb/s
2024-10-18 22:09:30,318 kb/s
2024-10-18 22:10:00,277 kb/s
2024-10-18 22:10:30,7.63 kb/s
2024-10-18 22:11:00,68.9 Mb/s
2024-10-18 22:11:30,61.6 Mb/s
2024-10-18 22:12:00,73.5 Mb/s
2024-10-18 22:12:30,78.6 Mb/s
2024-10-18 22:13:00,8.45 kb/s
2024-10-18 22:13:30,537 kb/s
2024-10-18 22:14:00,584 kb/s
2024-10-18 22:14:30,8.46 kb/s
2024-10-18 22:15:00,8.45 kb/s
2024-10-18 22:15:30,8.46 kb/s
2024-10-18 22:16:00,8.46 kb/s
2024-10-18 22:16:30,8.45 kb/s
2024-10-18 22:17:00,51.0 Mb/s
2024-10-18 22:17:30,87.2 Mb/s
2024-10-18 22:18:00,114 Mb/s
2024-10-18 22:18:30,104 Mb/s
2024-10-18 22:19:00,463 kb/s
2024-10-18 22:19:30,27.9 kb/s
2024-10-18 22:20:00,9.28 kb/s
2024-10-18 22:20:30,7.65 kb/s
2024-10-18 22:21:00,7.65 kb/s
2024-10-18 22:21:30,7.64 kb/s
2024-10-18 22:22:00,9.27 kb/s
2024-10-18 22:22:30,80.7 Mb/s
2024-10-18 22:23:00,79.6 Mb/s
2024-10-18 22:23:30,339 kb/s
2024-10-18 22:24:00,8.10 Mb/s
2024-10-18 22:24:30,92.3 Mb/s
2024-10-18 22:25:00,83.3 Mb/s
2024-10-18 22:25:30,93.0 Mb/s
2024-10-18 22:26:00,64.5 Mb/s
2024-10-18 22:26:30,77.6 Mb/s
2024-10-18 22:27:00,9.27 kb/s
2024-10-18 22:27:30,8.46 kb/s
2024-10-18 22:28:00,70.8 Mb/s
2024-10-18 22:28:30,667 kb/s
2024-10-18 22:29:00,906 kb/s
2024-10-18 22:29:30,647 kb/s
2024-10-18 22:30:00,783 kb/s
2024-10-18 22:30:30,9.26 kb/s
2024-10-18 22:31:00,344 kb/s
2024-10-18 22:31:30,293 kb/s
2024-10-18 22:32:00,10.9 kb/s
2024-10-18 22:32:30,9.27 kb/s
2024-10-18 22:33:00,9.28 kb/s
2024-10-18 22:33:30,8.46 kb/s
2024-10-18 22:34:00,82.8 Mb/s
2024-10-18 22:34:30,81.0 Mb/s
2024-10-18 22:35:00,81.5 Mb/s
2024-10-18 22:35:30,9.27 kb/s
2024-10-18 22:36:00,10.7 Mb/s
2024-10-18 22:36:30,55.0 Mb/s
2024-10-18 22:37:00,89.0 Mb/s
2024-10-18 22:37:30,82.4 Mb/s
2024-10-18 22:38:00,571 kb/s
2024-10-18 22:38:30,40.7 Mb/s
2024-10-18 22:39:00,7.64 kb/s
2024-10-18 22:39:30,92.8 Mb/s
2024-10-18 22:40:00,91.9 Mb/s
2024-10-18 22:40:30,87.3 Mb/s
2024-10-18 22:41:00,9.96 kb/s
2024-10-18 22:41:30,7.36 Mb/s
2024-10-18 22:42:00,7.27 Mb/s
2024-10-18 22:42:30,7.22 Mb/s
2024-10-18 22:43:00,7.48 Mb/s
2024-10-18 22:43:30,9.26 kb/s
2024-10-18 22:44:00,113 Mb/s
2024-10-18 22:44:30,104 Mb/s
2024-10-18 22:45:00,82.0 Mb/s
2024-10-18 22:45:30,83.9 Mb/s
2024-10-18 22:46:00,140 Mb/s
2024-10-18 22:46:30,9.14 kb/s
2024-10-18 22:47:00,55.8 Mb/s
2024-10-18 22:47:30,81.7 Mb/s
2024-10-18 22:48:00,193 Mb/s
2024-10-18 22:48:30,144 Mb/s
2024-10-18 22:49:00,150 Mb/s
2024-10-18 22:49:30,44.2 Mb/s
2024-10-18 22:50:00,90.5 Mb/s
2024-10-18 22:50:30,39.4 Mb/s
2024-10-18 22:51:00,96.8 Mb/s
2024-10-18 22:51:30,99.1 Mb/s
2024-10-18 22:52:00,122 Mb/s
2024-10-18 22:52:30,386 kb/s
2024-10-18 22:53:00,181 kb/s
2024-10-18 22:53:30,221 kb/s
2024-10-18 22:54:00,203 kb/s
2024-10-18 22:54:30,11.1 kb/s
2024-10-18 22:55:00,8.04 Mb/s
2024-10-18 22:55:30,44.5 Mb/s
2024-10-18 22:56:00,9.15 kb/s
2024-10-18 22:56:30,782 kb/s
2024-10-18 22:57:00,22.5 Mb/s
2024-10-18 22:57:30,80.7 Mb/s
2024-10-18 22:58:00,161 Mb/s
2024-10-18 22:58:30,128 Mb/s
2024-10-18 22:59:00,80.9 Mb/s
2024-10-18 22:59:30,8.33 kb/s
2024-10-18 23:00:00,11.9 kb/s
2024-10-18 23:00:30,406 kb/s
2024-10-18 23:01:00,10.3 kb/s
2024-10-18 23:01:30,919 kb/s
2024-10-18 23:02:00,15.5 kb/s
2024-10-18 23:02:30,36.7 kb/s
2024-10-18 23:03:00,34.1 kb/s
2024-10-18 23:03:30,395 kb/s
2024-10-18 23:04:00,103 Mb/s
2024-10-18 23:04:30,4.17 Mb/s
2024-10-18 23:05:00,3.74 Mb/s
2024-10-18 23:05:30,895 kb/s
2024-10-18 23:06:00,784 kb/s
2024-10-18 23:06:30,11.9 kb/s
2024-10-18 23:07:00,44.7 Mb/s
2024-10-18 23:07:30,1.57 Mb/s
2024-10-18 23:08:00,21.8 Mb/s
2024-10-18 23:08:30,21.2 Mb/s
2024-10-18 23:09:00,31.4 Mb/s
2024-10-18 23:09:30,30.6 Mb/s
2024-10-18 23:10:00,9.56 Mb/s
2024-10-18 23:10:30,9.97 kb/s
2024-10-18 23:11:00,344 kb/s
2024-10-18 23:11:30,399 kb/s
2024-10-18 23:12:00,103 Mb/s
2024-10-18 23:12:30,90.0 Mb/s
2024-10-18 23:13:00,80.8 Mb/s
2024-10-18 23:13:30,312 kb/s
2024-10-18 23:14:00,208 kb/s
2024-10-18 23:14:30,11.9 kb/s
2024-10-18 23:15:00,47.5 Mb/s
2024-10-18 23:15:30,86.1 Mb/s
2024-10-18 23:16:00,46.7 Mb/s
2024-10-18 23:16:30,84.6 Mb/s
2024-10-18 23:17:00,85.3 Mb/s
2024-10-18 23:17:30,88.0 Mb/s
2024-10-18 23:18:00,214 kb/s
2024-10-18 23:18:30,73.6 Mb/s
2024-10-18 23:19:00,33.5 Mb/s
2024-10-18 23:19:30,88.8 Mb/s
2024-10-18 23:20:00,31.5 Mb/s
2024-10-18 23:20:30,33.1 Mb/s
2024-10-18 23:21:00,630 kb/s
2024-10-18 23:21:30,425 kb/s
2024-10-18 23:22:00,390 kb/s
2024-10-18 23:22:30,43.7 Mb/s
2024-10-18 23:23:00,41.8 Mb/s
2024-10-18 23:23:30,42.1 Mb/s
2024-10-18 23:24:00,44.2 Mb/s
2024-10-18 23:24:30,25.4 kb/s
2024-10-18 23:25:00,23.8 kb/s
2024-10-18 23:25:30,23.8 kb/s
2024-10-18 23:26:00,560 kb/s
2024-10-18 23:26:30,81.3 Mb/s
2024-10-18 23:27:00,87.9 Mb/s
2024-10-18 23:27:30,84.2 Mb/s
2024-10-18 23:28:00,80.4 Mb/s
2024-10-18 23:28:30,64.4 Mb/s
2024-10-18 23:29:00,63.4 Mb/s
2024-10-18 23:29:30,55.0 Mb/s
2024-10-18 23:30:00,55.4 Mb/s
2024-10-18 23:30:30,53.2 Mb/s
2024-10-18 23:31:00,53.6 Mb/s
2024-10-18 23:31:30,68.6 Mb/s
2024-10-18 23:32:00,170 Mb/s
2024-10-18 23:32:30,161 Mb/s
2024-10-18 23:33:00,136 Mb/s
2024-10-18 23:33:30,70.0 Mb/s
2024-10-18 23:34:00,59.9 Mb/s
2024-10-18 23:34:30,66.1 Mb/s
2024-10-18 23:35:00,72.2 Mb/s
2024-10-18 23:35:30,24.7 kb/s
2024-10-18 23:36:00,99.4 Mb/s
2024-10-18 23:36:30,24.8 kb/s
2024-10-18 23:37:00,39.9 Mb/s
2024-10-18 23:37:30,39.8 Mb/s
2024-10-18 23:38:00,37.9 Mb/s
2024-10-18 23:38:30,215 kb/s
2024-10-18 23:39:00,22.5 Mb/s
2024-10-18 23:39:30,21.6 Mb/s
2024-10-18 23:40:00,21.6 Mb/s
2024-10-18 23:40:30,43.8 Mb/s
2024-10-18 23:41:00,20.5 kb/s
2024-10-18 23:41:30,10.2 kb/s
2024-10-18 23:42:00,358 kb/s
2024-10-18 23:42:30,71.4 Mb/s
2024-10-18 23:43:00,69.9 Mb/s
2024-10-18 23:43:30,80.1 Mb/s
2024-10-18 23:44:00,13.7 Mb/s
2024-10-18 23:44:30,23.9 kb/s
2024-10-18 23:45:00,3.86 Mb/s
2024-10-18 23:45:30,67.5 Mb/s
2024-10-18 23:46:00,4.84 Mb/s
2024-10-18 23:46:30,829 kb/s
2024-10-18 23:47:00,90.8 Mb/s
2024-10-18 23:47:30,93.0 Mb/s
2024-10-18 23:48:00,128 Mb/s
2024-10-18 23:48:30,49.3 Mb/s
2024-10-18 23:49:00,47.7 Mb/s
2024-10-18 23:49:30,8.46 kb/s
2024-10-18 23:50:00,8.60 kb/s
2024-10-18 23:50:30,8.46 kb/s
2024-10-18 23:51:00,82.6 Mb/s
2024-10-18 23:51:30,100 Mb/s
2024-10-18 23:52:00,123 Mb/s
2024-10-18 23:52:30,121 Mb/s
2024-10-18 23:53:00,121 Mb/s
2024-10-18 23:53:30,34.4 Mb/s
2024-10-18 23:54:00,94.7 Mb/s
2024-10-18 23:54:30,92.9 Mb/s
2024-10-18 23:55:00,91.3 Mb/s
2024-10-18 23:55:30,192 kb/s
2024-10-18 23:56:00,90.9 Mb/s
2024-10-18 23:56:30,93.8 Mb/s
2024-10-18 23:57:00,30.7 Mb/s
2024-10-18 23:57:30,75.2 Mb/s
2024-10-18 23:58:00,76.0 Mb/s
2024-10-18 23:58:30,76.2 Mb/s
2024-10-18 23:59:00,74.7 Mb/s
2024-10-18 23:59:30,582 kb/s
2024-10-19 00:00:00,43.1 Mb/s
2024-10-19 00:00:30,59.8 Mb/s
2024-10-19 00:01:00,53.1 Mb/s
2024-10-19 00:01:30,114 Mb/s
2024-10-19 00:02:00,62.0 Mb/s
2024-10-19 00:02:30,60.6 Mb/s
2024-10-19 00:03:00,54.5 Mb/s
2024-10-19 00:03:30,90.1 Mb/s
2024-10-19 00:04:00,118 Mb/s
2024-10-19 00:04:30,76.4 Mb/s
2024-10-19 00:05:00,59.2 Mb/s
2024-10-19 00:05:30,45.8 Mb/s
2024-10-19 00:06:00,44.9 Mb/s
2024-10-19 00:06:30,46.3 Mb/s
2024-10-19 00:07:00,97.9 Mb/s
2024-10-19 00:07:30,88.4 Mb/s
2024-10-19 00:08:00,71.5 Mb/s
2024-10-19 00:08:30,61.7 Mb/s
2024-10-19 00:09:00,8.46 kb/s
2024-10-19 00:09:30,6.52 Mb/s
2024-10-19 00:10:00,7.63 Mb/s
2024-10-19 00:10:30,2.32 Mb/s
2024-10-19 00:11:00,79.5 Mb/s
2024-10-19 00:11:30,66.0 Mb/s
2024-10-19 00:12:00,79.5 Mb/s
2024-10-19 00:12:30,52.1 Mb/s
2024-10-19 00:13:00,50.1 Mb/s
2024-10-19 00:13:30,8.02 Mb/s
2024-10-19 00:14:00,235 kb/s
2024-10-19 00:14:30,74.0 Mb/s
2024-10-19 00:15:00,109 Mb/s
2024-10-19 00:15:30,94.8 Mb/s
2024-10-19 00:16:00,101 Mb/s
2024-10-19 00:16:30,13.5 Mb/s
2024-10-19 00:17:00,12.8 Mb/s
2024-10-19 00:17:30,13.0 Mb/s
2024-10-19 00:18:00,95.8 Mb/s
2024-10-19 00:18:30,101 Mb/s
2024-10-19 00:19:00,100 Mb/s
2024-10-19 00:19:30,103 Mb/s
2024-10-19 00:20:00,21.7 Mb/s
2024-10-19 00:20:30,78.3 Mb/s
2024-10-19 00:21:00,147 Mb/s
2024-10-19 00:21:30,92.7 Mb/s
2024-10-19 00:22:00,119 Mb/s
2024-10-19 00:22:30,55.8 Mb/s
2024-10-19 00:23:00,55.3 Mb/s
2024-10-19 00:23:30,24.6 kb/s
2024-10-19 00:24:00,23.8 kb/s
2024-10-19 00:24:30,529 kb/s
2024-10-19 00:25:00,134 Mb/s
2024-10-19 00:25:30,104 Mb/s
2024-10-19 00:26:00,128 Mb/s
2024-10-19 00:26:30,139 Mb/s
2024-10-19 00:27:00,125 Mb/s
2024-10-19 00:27:30,76.6 Mb/s
2024-10-19 00:28:00,83.0 Mb/s
2024-10-19 00:28:30,112 Mb/s
2024-10-19 00:29:00,83.5 Mb/s
2024-10-19 00:29:30,95.9 Mb/s
2024-10-19 00:30:00,275 kb/s
2024-10-19 00:30:30,310 kb/s
2024-10-19 00:31:00,1.46 Mb/s
2024-10-19 00:31:30,48.4 Mb/s
2024-10-19 00:32:00,48.4 Mb/s
2024-10-19 00:32:30,112 Mb/s
2024-10-19 00:33:00,47.4 Mb/s
2024-10-19 00:33:30,27.4 kb/s
2024-10-19 00:34:00,77.3 Mb/s
2024-10-19 00:34:30,89.2 Mb/s
2024-10-19 00:35:00,87.0 Mb/s
2024-10-19 00:35:30,85.8 Mb/s
2024-10-19 00:36:00,10.4 Mb/s
2024-10-19 00:36:30,61.7 Mb/s
2024-10-19 00:37:00,63.8 Mb/s
2024-10-19 00:37:30,23.5 kb/s
2024-10-19 00:38:00,14.4 Mb/s
2024-10-19 00:38:30,15.2 Mb/s
2024-10-19 00:39:00,73.1 Mb/s
2024-10-19 00:39:30,14.7 Mb/s
2024-10-19 00:40:00,22.9 kb/s
2024-10-19 00:40:30,25.2 kb/s
2024-10-19 00:41:00,21.3 kb/s
2024-10-19 00:41:30,93.3 Mb/s
2024-10-19 00:42:00,96.2 Mb/s
2024-10-19 00:42:30,23.0 kb/s
2024-10-19 00:43:00,83.4 Mb/s
2024-10-19 00:43:30,83.7 Mb/s
2024-10-19 00:44:00,176 Mb/s
2024-10-19 00:44:30,197 Mb/s
2024-10-19 00:45:00,121 Mb/s
2024-10-19 00:45:30,102 Mb/s
2024-10-19 00:46:00,51.8 Mb/s
2024-10-19 00:46:30,465 kb/s
2024-10-19 00:47:00,78.1 Mb/s
2024-10-19 00:47:30,66.7 Mb/s
2024-10-19 00:48:00,82.7 kb/s
2024-10-19 00:48:30,317 kb/s
2024-10-19 00:49:00,7.70 Mb/s
2024-10-19 00:49:30,45.6 Mb/s
2024-10-19 00:50:00,47.6 Mb/s
2024-10-19 00:50:30,47.7 kb/s
2024-10-19 00:51:00,24.6 kb/s
2024-10-19 00:51:30,21.3 kb/s
2024-10-19 00:52:00,24.6 kb/s
2024-10-19 00:52:30,24.6 kb/s
2024-10-19 00:53:00,24.6 kb/s
2024-10-19 00:53:30,9.84 Mb/s
2024-10-19 00:54:00,31.9 Mb/s
2024-10-19 00:54:30,261 kb/s
2024-10-19 00:55:00,165 kb/s
2024-10-19 00:55:30,16.2 kb/s
2024-10-19 00:56:00,3.47 Mb/s
2024-10-19 00:56:30,2.47 Mb/s
2024-10-19 00:57:00,3.10 Mb/s
2024-10-19 00:57:30,23.7 kb/s
2024-10-19 00:58:00,24.6 kb/s
2024-10-19 00:58:30,23.8 kb/s
2024-10-19 00:59:00,94.2 Mb/s
2024-10-19 00:59:30,89.5 Mb/s
2024-10-19 01:00:00,43.0 Mb/s
2024-10-19 01:00:30,110 Mb/s
2024-10-19 01:01:00,115 Mb/s
2024-10-19 01:01:30,39.7 Mb/s
2024-10-19 01:02:00,47.3 Mb/s
2024-10-19 01:02:30,27.1 Mb/s
2024-10-19 01:03:00,8.81 Mb/s
2024-10-19 01:03:30,28.8 Mb/s
2024-10-19 01:04:00,23.0 kb/s
2024-10-19 01:04:30,24.6 kb/s
2024-10-19 01:05:00,23.6 kb/s
2024-10-19 01:05:30,31.8 kb/s
2024-10-19 01:06:00,23.8 kb/s
2024-10-19 01:06:30,883 kb/s
2024-10-19 01:07:00,39.6 kb/s
2024-10-19 01:07:30,89.0 Mb/s
2024-10-19 01:08:00,52.8 Mb/s
2024-10-19 01:08:30,55.0 Mb/s
2024-10-19 01:09:00,50.3 Mb/s
2024-10-19 01:09:30,25.1 kb/s
2024-10-19 01:10:00,64.1 kb/s
2024-10-19 01:10:30,700 kb/s
2024-10-19 01:11:00,25.2 kb/s
2024-10-19 01:11:30,31.8 kb/s
2024-10-19 01:12:00,13.0 kb/s
2024-10-19 01:12:30,22.0 kb/s
2024-10-19 01:13:00,54.0 Mb/s
2024-10-19 01:13:30,51.1 Mb/s
2024-10-19 01:14:00,51.4 Mb/s
2024-10-19 01:14:30,50.0 Mb/s
2024-10-19 01:15:00,9.60 kb/s
2024-10-19 01:15:30,67.1 Mb/s
2024-10-19 01:16:00,84.3 Mb/s
2024-10-19 01:16:30,502 kb/s
2024-10-19 01:17:00,22.1 kb/s
2024-10-19 01:17:30,10.4 kb/s
2024-10-19 01:18:00,11.2 kb/s
2024-10-19 01:18:30,9.99 kb/s
2024-10-19 01:19:00,25.6 kb/s
2024-10-19 01:19:30,10.1 kb/s
2024-10-19 01:20:00,93.5 Mb/s
2024-10-19 01:20:30,71.4 Mb/s
2024-10-19 01:21:00,149 Mb/s
2024-10-19 01:21:30,93.0 Mb/s
2024-10-19 01:22:00,116 Mb/s
2024-10-19 01:22:30,122 Mb/s
2024-10-19 01:23:00,8.55 kb/s
2024-10-19 01:23:30,43.4 Mb/s
2024-10-19 01:24:00,89.5 Mb/s
2024-10-19 01:24:30,85.8 Mb/s
2024-10-19 01:25:00,30.0 Mb/s
2024-10-19 01:25:30,762 kb/s
2024-10-19 01:26:00,65.1 Mb/s
2024-10-19 01:26:30,65.6 Mb/s
2024-10-19 01:27:00,84.0 Mb/s
2024-10-19 01:27:30,222 Mb/s
2024-10-19 01:28:00,192 Mb/s
2024-10-19 01:28:30,34.7 Mb/s
2024-10-19 01:29:00,8.46 kb/s
2024-10-19 01:29:30,73.5 Mb/s
2024-10-19 01:30:00,84.6 Mb/s
2024-10-19 01:30:30,144 Mb/s
2024-10-19 01:31:00,47.8 Mb/s
2024-10-19 01:31:30,108 Mb/s
2024-10-19 01:32:00,106 Mb/s
2024-10-19 01:32:30,136 Mb/s
2024-10-19 01:33:00,57.0 Mb/s
2024-10-19 01:33:30,4.94 Mb/s
2024-10-19 01:34:00,4.85 Mb/s
2024-10-19 01:34:30,4.12 Mb/s
2024-10-19 01:35:00,8.46 kb/s
2024-10-19 01:35:30,36.8 Mb/s
2024-10-19 01:36:00,35.7 Mb/s
